"No.","Time","Source","Destination","Protocol","Length","Info"
"217","2.369235","1.1.1","host","USB","31","URB_INTERRUPT in"
"218","2.369296","host","1.1.1","USB","27","URB_INTERRUPT in"
"219","2.385250","1.1.1","host","USB","31","URB_INTERRUPT in"
"220","2.385315","host","1.1.1","USB","27","URB_INTERRUPT in"
"221","2.409234","1.1.1","host","USB","31","URB_INTERRUPT in"
"222","2.409294","host","1.1.1","USB","27","URB_INTERRUPT in"
"223","2.425160","1.1.1","host","USB","31","URB_INTERRUPT in"
"224","2.425206","host","1.1.1","USB","27","URB_INTERRUPT in"
"225","2.433169","1.1.1","host","USB","31","URB_INTERRUPT in"
"226","2.433198","host","1.1.1","USB","27","URB_INTERRUPT in"
"227","2.449246","1.1.1","host","USB","31","URB_INTERRUPT in"
"228","2.449293","host","1.1.1","USB","27","URB_INTERRUPT in"
"229","2.465241","1.1.1","host","USB","31","URB_INTERRUPT in"
"230","2.465301","host","1.1.1","USB","27","URB_INTERRUPT in"
"231","2.481267","1.1.1","host","USB","31","URB_INTERRUPT in"
"232","2.481327","host","1.1.1","USB","27","URB_INTERRUPT in"
"233","2.537164","1.1.1","host","USB","31","URB_INTERRUPT in"
"234","2.537226","host","1.1.1","USB","27","URB_INTERRUPT in"
"235","2.577619","1.1.1","host","USB","31","URB_INTERRUPT in"
"236","2.577685","host","1.1.1","USB","27","URB_INTERRUPT in"
"237","2.593613","1.1.1","host","USB","31","URB_INTERRUPT in"
"238","2.593678","host","1.1.1","USB","27","URB_INTERRUPT in"
"239","2.601360","1.1.1","host","USB","31","URB_INTERRUPT in"
"240","2.601427","host","1.1.1","USB","27","URB_INTERRUPT in"
"241","2.617222","1.1.1","host","USB","31","URB_INTERRUPT in"
"242","2.617286","host","1.1.1","USB","27","URB_INTERRUPT in"
"243","2.633613","1.1.1","host","USB","31","URB_INTERRUPT in"
"244","2.633676","host","1.1.1","USB","27","URB_INTERRUPT in"
"245","2.665617","1.1.1","host","USB","31","URB_INTERRUPT in"
"246","2.665661","host","1.1.1","USB","27","URB_INTERRUPT in"
"247","2.681280","1.1.1","host","USB","31","URB_INTERRUPT in"
"248","2.681339","host","1.1.1","USB","27","URB_INTERRUPT in"
"249","2.697621","1.1.1","host","USB","31","URB_INTERRUPT in"
"250","2.697680","host","1.1.1","USB","27","URB_INTERRUPT in"
"251","2.721767","1.1.1","host","USB","31","URB_INTERRUPT in"
"252","2.721824","host","1.1.1","USB","27","URB_INTERRUPT in"
"253","2.737618","1.1.1","host","USB","31","URB_INTERRUPT in"
"254","2.737674","host","1.1.1","USB","27","URB_INTERRUPT in"
"255","2.753240","1.1.1","host","USB","31","URB_INTERRUPT in"
"256","2.753301","host","1.1.1","USB","27","URB_INTERRUPT in"
"257","2.769253","1.1.1","host","USB","31","URB_INTERRUPT in"
"258","2.769313","host","1.1.1","USB","27","URB_INTERRUPT in"
"259","2.777241","1.1.1","host","USB","31","URB_INTERRUPT in"
"260","2.777301","host","1.1.1","USB","27","URB_INTERRUPT in"
"261","2.793104","1.1.1","host","USB","31","URB_INTERRUPT in"
"262","2.793209","host","1.1.1","USB","27","URB_INTERRUPT in"
"263","2.801218","1.1.1","host","USB","31","URB_INTERRUPT in"
"264","2.801249","host","1.1.1","USB","27","URB_INTERRUPT in"
"265","2.809099","1.1.1","host","USB","31","URB_INTERRUPT in"
"266","2.809128","host","1.1.1","USB","27","URB_INTERRUPT in"
"267","2.817096","1.1.1","host","USB","31","URB_INTERRUPT in"
"268","2.817177","host","1.1.1","USB","27","URB_INTERRUPT in"
"269","2.833083","1.1.1","host","USB","31","URB_INTERRUPT in"
"270","2.833174","host","1.1.1","USB","27","URB_INTERRUPT in"
"271","2.841135","1.1.1","host","USB","31","URB_INTERRUPT in"
"272","2.841224","host","1.1.1","USB","27","URB_INTERRUPT in"
"273","2.857090","1.1.1","host","USB","31","URB_INTERRUPT in"
"274","2.857175","host","1.1.1","USB","27","URB_INTERRUPT in"
"275","2.873240","1.1.1","host","USB","31","URB_INTERRUPT in"
"276","2.873301","host","1.1.1","USB","27","URB_INTERRUPT in"
"277","2.889245","1.1.1","host","USB","31","URB_INTERRUPT in"
"278","2.889294","host","1.1.1","USB","27","URB_INTERRUPT in"
"279","2.913245","1.1.1","host","USB","31","URB_INTERRUPT in"
"280","2.913308","host","1.1.1","USB","27","URB_INTERRUPT in"
"281","2.929242","1.1.1","host","USB","31","URB_INTERRUPT in"
"282","2.929299","host","1.1.1","USB","27","URB_INTERRUPT in"
"283","2.937248","1.1.1","host","USB","31","URB_INTERRUPT in"
"284","2.937307","host","1.1.1","USB","27","URB_INTERRUPT in"
"285","2.945608","1.1.1","host","USB","31","URB_INTERRUPT in"
"286","2.945667","host","1.1.1","USB","27","URB_INTERRUPT in"
"287","2.969082","1.1.1","host","USB","31","URB_INTERRUPT in"
"288","2.969147","host","1.1.1","USB","27","URB_INTERRUPT in"
"289","2.985069","1.1.1","host","USB","31","URB_INTERRUPT in"
"290","2.985104","host","1.1.1","USB","27","URB_INTERRUPT in"
"291","3.009145","1.1.1","host","USB","31","URB_INTERRUPT in"
"292","3.009273","host","1.1.1","USB","27","URB_INTERRUPT in"
"293","3.017077","1.1.1","host","USB","31","URB_INTERRUPT in"
"294","3.017124","host","1.1.1","USB","27","URB_INTERRUPT in"
"295","3.025172","1.1.1","host","USB","31","URB_INTERRUPT in"
"296","3.025211","host","1.1.1","USB","27","URB_INTERRUPT in"
"297","3.033090","1.1.1","host","USB","31","URB_INTERRUPT in"
"298","3.033151","host","1.1.1","USB","27","URB_INTERRUPT in"
"299","3.049114","1.1.1","host","USB","31","URB_INTERRUPT in"
"300","3.049165","host","1.1.1","USB","27","URB_INTERRUPT in"
"301","3.057246","1.1.1","host","USB","31","URB_INTERRUPT in"
"302","3.057305","host","1.1.1","USB","27","URB_INTERRUPT in"
"303","3.073241","1.1.1","host","USB","31","URB_INTERRUPT in"
"304","3.073305","host","1.1.1","USB","27","URB_INTERRUPT in"
"305","3.081172","1.1.1","host","USB","31","URB_INTERRUPT in"
"306","3.081225","host","1.1.1","USB","27","URB_INTERRUPT in"
